tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,via_tran,mot_viam,cont_res,cont_nac,cont_prod,pais_prod,pais_res,jef_migr,edad
Entrada,Ecuatorianos,2022,5,7,Hombre,ECUADOR,Vía Terrestre,Residencia,América,América,América,PERU PERU,ECUADOR,9,26
Entrada,Ecuatorianos,2022,7,2,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,44
Salida,Ecuatorianos,2022,9,16,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,PERU PERU,ECUADOR,9,58
Salida,Ecuatorianos,2022,3,21,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,MEXICO MEXICO,ECUADOR,12,57
Salida,Ecuatorianos,2022,11,24,Mujer,ECUADOR,Vía Terrestre,Turismo,América,América,América,COLOMBIA,ECUADOR,11,64
Salida,Ecuatorianos,2022,11,4,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,47
Entrada,Ecuatorianos,2022,11,30,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,62
Entrada,Ecuatorianos,2022,7,17,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,56
Salida,Ecuatorianos,2022,11,8,Mujer,ECUADOR,Vía Aérea,Turismo,América,América,América,CHILE,ECUADOR,12,23
Entrada,Ecuatorianos,2022,3,3,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,EL SALVADOR,ECUADOR,1,45
Entrada,Ecuatorianos,2022,12,1,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,56
Entrada,Ecuatorianos,2022,9,18,Hombre,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,8
Salida,Ecuatorianos,2022,11,20,Hombre,ECUADOR,Vía Aérea,Turismo,América,América,América,ESTADOS UNIDOS USA,ECUADOR,1,71
Entrada,Ecuatorianos,2022,10,15,Mujer,ECUADOR,Vía Aérea,Residencia,América,América,América,ESTADOS UNIDOS USA,ECUADOR,12,60
